prod_notif_no,ingredient_id
NOT221202621K,50
NOT221202621K,51
NOT221202621K,52
NOT220800673K,22
NOT220800673K,23
NOT220800673K,33
NOT220800673K,24
NOT220800673K,34
NOT220800673K,66
NOT220800673K,26
NOT201105998K,22
NOT201105998K,23
NOT201105998K,26
NOT221106155K,46
NOT221106155K,47
NOT221106155K,48
NOT221106155K,49
NOT221106155K,50
NOT221106155K,51
NOT221106155K,52
NOT220902801K,28
NOT220902801K,45
NOT220902801K,29
NOT220902801K,30
NOT220902801K,31
NOT220902801K,32
NOT221106709K,22
NOT221106709K,23
NOT221106709K,26
NOT221104672K,67
NOT221104672K,28
NOT221104672K,29
NOT221104672K,68
NOT221104672K,31
NOT221104672K,65
NOT200902289K,22
NOT200902289K,38
NOT200902289K,39
NOT200902289K,23
NOT200902289K,40
NOT200902289K,26
NOT200707983K,41
NOT200707983K,53
NOT200707983K,54
NOT200707983K,55
NOT200707983K,56
NOT200707983K,57
NOT201104627K,22
NOT201104627K,23
NOT201104627K,26
NOT220901859K,22
NOT220901859K,23
NOT220901859K,58
NOT220901859K,25
NOT220901859K,26
NOT220901859K,59
NOT220901859K,60
NOT220901859K,27
NOT201001130K,22
NOT201001130K,23
NOT201001130K,26
NOT221004323K,41
NOT221004323K,53
NOT221004323K,54
NOT221004323K,55
NOT221004323K,56
NOT221004323K,57
NOT221102863K,46
NOT221102863K,47
NOT221102863K,48
NOT221102863K,49
NOT221102863K,50
NOT221102863K,51
NOT221102863K,52
NOT221106882K,22
NOT221106882K,23
NOT221106882K,26
NOT221103282K,46
NOT221103282K,47
NOT221103282K,48
NOT221103282K,49
NOT221103282K,50
NOT221103282K,51
NOT221103282K,52
NOT221107140K,22
NOT221107140K,23
NOT221107140K,24
NOT221107140K,61
NOT221107140K,62
NOT221107140K,63
NOT221107140K,64
NOT221107140K,26
NOT221107140K,27
NOT200902296K,22
NOT200902296K,38
NOT200902296K,39
NOT200902296K,23
NOT200902296K,40
NOT200902296K,26
NOT221006234K,22
NOT221006234K,23
NOT221006234K,33
NOT221006234K,24
NOT221006234K,34
NOT221006234K,66
NOT221006234K,26
NOT220708358K,22
NOT220708358K,23
NOT220708358K,26
NOT220902483K,22
NOT220902483K,23
NOT220902483K,26
NOT201001161K,41
NOT201001161K,53
NOT201001161K,54
NOT201001161K,55
